"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"mahabir2016_A","mahabir2016","Pharmacotherapy","2016","PTSD","PTSD",,"41","A","20",,"Propranolol","Propranolol","Beta-adrenergic receptor antagonist","No",,"Yes","Antiadrenergic","No",,"No","No","No","No","No","Individual","In Person","1 mg/kg",,"Once (single dose)","0.14","single dose",,,,,,,,,,,,,"Not reported","Community","73.17%","Mixed","accidents, rape/sexual assault, combat-related, community/school violence, other (non-specified)","Some Concerns","Mahabir M, Ashbaugh AR, Saumier D, et al. Propranolol's impact on cognitive performance in post-traumatic stress disorder. J Affect Disord. 2016 Mar 1;192:98-103. doi: 10.1016/j.jad.2015.11.051. PMID: 26707354.","46886","2019"
"mahabir2016_B","mahabir2016","Pharmacotherapy","2016","PTSD","Inactive Control",,"41","B","21",,"Placebo","Placebo","Placebo","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Once (single dose)","0.14","Single dose",,,,,,,,,,,,,"Not reported","Community","73.17%","Mixed","accidents, rape/sexual assault, combat-related, community/school violence, other (non-specified)","Some Concerns","Mahabir M, Ashbaugh AR, Saumier D, et al. Propranolol's impact on cognitive performance in post-traumatic stress disorder. J Affect Disord. 2016 Mar 1;192:98-103. doi: 10.1016/j.jad.2015.11.051. PMID: 26707354.","46886","2019"
"maieritsch2016_A","maieritsch2016","Psychotherapy","2016","PTSD","PTSD",,"90","A","45",,"CPT via Telehealth","Cognitive Processing Therapy (CPT)","CPT provided over video teleconference","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Video",,"50 minutes","Once or twice weekly","5 to 10","10 sessions total","Completed at least 10 sessions",,,,,,,,,,,,"Not reported","Veteran","6.7%","Mixed","MST, combat-related, community/school violence","High","Maieritsch KP, Smith TL, Hessinger JD, et al. Randomized controlled equivalence trial comparing videoconference and in person delivery of cognitive processing therapy for PTSD. J Telemed Telecare. 2016 Jun;22(4):238-43. doi: 10.1177/1357633x15596109. PMID: 26231819.","45182","2019"
"maieritsch2016_B","maieritsch2016","Psychotherapy","2016","PTSD","PTSD",,"90","B","45",,"CPT","Cognitive Processing Therapy (CPT)","In-person sessions","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"50 minutes","Once or twice weekly","5 to 10","10 sessions total","Completed at least 10 sessions",,,,,,,,,,,,"Not reported","Veteran","6.7%","Mixed","MST, combat-related, community/school violence","High","Maieritsch KP, Smith TL, Hessinger JD, et al. Randomized controlled equivalence trial comparing videoconference and in person delivery of cognitive processing therapy for PTSD. J Telemed Telecare. 2016 Jun;22(4):238-43. doi: 10.1177/1357633x15596109. PMID: 26231819.","45182","2019"
"manteghi2014_A","manteghi2014","Pharmacotherapy","2014","PTSD","PTSD",,"40","A","20",,"Citalopram + baclofen","Citalopram + baclofen","Citalopram: SSRI; baclofen: GABA-B agonist","No",,"Yes","Mixed","No",,"No","No","No","No","No","Individual","In Person","Citalopram: 60 mg; titrated from 10 mg to 60 mg







Baclofen: 40 mg; started at 10 mg titrated up to 40 mg",,"Once daily







3 times daily","8",,,,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Manteghi AA, Hebrani P, Mortezania M, et al. Baclofen add-on to citalopram in treatment of posttraumatic stress disorder. J Clin Psychopharmacol. 2014 Apr;34(2):240-3. doi: 10.1097/jcp.0000000000000089. PMID: 24525635.","42065","2019"
"manteghi2014_B","manteghi2014","Pharmacotherapy","2014","PTSD","Active Control",,"40","B","20",,"Citalopram + placebo","Citalopram + placebo","SSRI plus placebo","No",,"Yes","Antidepressant: SSRI","No",,"No","No","Yes","No","No","Individual","In Person","10 mg/day titrated up to 60 mg/day",,"Once daily citalopram and three time a day for placebo","8",,,,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Manteghi AA, Hebrani P, Mortezania M, et al. Baclofen add-on to citalopram in treatment of posttraumatic stress disorder. J Clin Psychopharmacol. 2014 Apr;34(2):240-3. doi: 10.1097/jcp.0000000000000089. PMID: 24525635.","42065","2019"
"marcus1997_A","marcus1997","Psychotherapy","1997","PTSD","PTSD",,"67","A",,,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Individual psychotherapy according to Shapiro (1995), includes history taking and treatment planning, assessment of target trauma, desensitization of the targeted trauma, installation of positive cognition, body scan to identify residual disturbing body sensations or affect, and EMDR closure. Treatment was offered until individual no long met DSM-III-R criteria for PTSD or study ended. Participants also received TAU, including medication visits and group therapy.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"50 minutes",,,,,,,,,,,,,,,,"Race and Ethnicity data reported","Community","79.1%","Mixed","rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disaster","High","Marcus SV, Marquis P, Sakai CE. Controlled study of treatment of PTSD using EMDR in an HMO setting. Psychotherapy (Chic). 1997;34(3):307-15. doi: 10.1037/h0087791.","09960","2019"
"marcus1997_B","marcus1997","Psychotherapy","1997","PTSD","Active Control",,"67","B",,,"Standard care","Treatment as usual (TAU)","All individuals received either individual psychotherapy (cognitive, psychodynamic, or behavior), medication, and/or group therapy (treated as provider preferred)","No",,"No",,"No",,"No","No","Yes","No","No",,,,"Individual therapy: 50 minutes







Medication visits: 30 to 45 minutes







Group therapy: 90 minutes",,,,,,,,,,,,,,,,"Race and Ethnicity data reported","Community","79.1%","Mixed","rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disaster","High","Marcus SV, Marquis P, Sakai CE. Controlled study of treatment of PTSD using EMDR in an HMO setting. Psychotherapy (Chic). 1997;34(3):307-15. doi: 10.1037/h0087791.","09960","2019"
"margolies2013_A","margolies2013","Psychotherapy","2013","PTSD","PTSD",,"40","A","20",,"CBT-I + IRT","Cognitive Behavioral Therapy for Insomnia (CBT-I) + Imagery Rehearsal Training (IRT)","Treatment includes CBT-I following Morin & Epsie 2003 protocol, imaginal rehearsal of new dream, and stimulus control following Bootzin & Epstine 2000.","Yes","Non-Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","6","4 sessions","Completed 4 sessions",,,,,,,,,,,,"Race data reported","Veteran","10%",,,"High","Margolies SO, Rybarczyk B, Vrana SR, et al. Efficacy of a cognitive-behavioral treatment for insomnia and nightmares in Afghanistan and Iraq veterans with PTSD. Journal of Clinical Psychology. 2013 Oct;69(10):1026-42. doi: 10.1002/jclp.21970. PMID: 23629959.","40515","2020"
"margolies2013_B","margolies2013","Psychotherapy","2013","PTSD","Inactive Control",,"40","B","20",,"Waitlist","Waitlist",,"No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"6",,,,,,,,,,,,,,"Race data reported","Veteran","10%",,,"High","Margolies SO, Rybarczyk B, Vrana SR, et al. Efficacy of a cognitive-behavioral treatment for insomnia and nightmares in Afghanistan and Iraq veterans with PTSD. Journal of Clinical Psychology. 2013 Oct;69(10):1026-42. doi: 10.1002/jclp.21970. PMID: 23629959.","40515","2020"
"markowitz2015a_A","markowitz2015a","Psychotherapy & CIH","2015","PTSD","PTSD",,"110","A","38",,"PE","Prolonged Exposure (PE)","Patients narrate an increasingly detailed trauma narrative (imaginal exposure) and confront trauma reminders (in vivo exposure) to extinguish fear responses","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly for 7 weeks, then 3 sessions over next 7 weeks","14",,"completed PE",,,,,,"8.3","3.1",,,,,"Race and Ethnicity data reported","Community","70%","Mixed","rape/sexual assault, other (child abuse unspecified, interpersonal, not specified)","Some Concerns","Markowitz JC, Petkova E, Neria Y, et al. Is exposure necessary? A randomized clinical trial of interpersonal psychotherapy for PTSD. Am J Psychiatry. 2015 May;172(5):430-40. doi: 10.1176/appi.ajp.2014.14070908. PMID: 25677355.","43409","2019"
"markowitz2015a_B","markowitz2015a","Psychotherapy & CIH","2015","PTSD","PTSD",,"110","B","40",,"Interpersonal Psychotherapy","Interpersonal Psychotherapy (IPT)","Addresses not trauma but its interpersonal aftermath, and assigns no homework. The first half of Interpersonal Psychotherapy emphasized affective attunement, recognizing, naming, and expressing one’s feelings in non-trauma-related interpersonal situations; the remainder addressed typical Interpersonal Psychotherapy problem areas (e.g., role disputes, transitions) not trauma but its interpersonal aftermath, and assigns no homework. The first half of Interpersonal Psychotherapy emphasized affective attunement, recognizing, naming, and expressing one’s feelings in non-trauma-related interpersonal situations; the remainder addressed typical Interpersonal Psychotherapy problem areas (e.g., role disputes, transitions)","Yes","Non-Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"50 minutes","Weekly","14",,"completed interpersonal therapy",,,,,,"12.6","3.4",,,,,"Race and Ethnicity data reported","Community","70%","Mixed","rape/sexual assault, other (child abuse unspecified, interpersonal, not specified)","Some Concerns","Markowitz JC, Petkova E, Neria Y, et al. Is exposure necessary? A randomized clinical trial of interpersonal psychotherapy for PTSD. Am J Psychiatry. 2015 May;172(5):430-40. doi: 10.1176/appi.ajp.2014.14070908. PMID: 25677355.","43409","2019"
"markowitz2015a_C","markowitz2015a","Psychotherapy & CIH","2015","PTSD","Active Control",,"110","C","32",,"Relaxation Therapy","Relaxation","Highly scripted, induces progressive muscle and mental relaxation","No",,"No",,"Yes","Relaxation","No","No","Yes","No","No","Individual","In Person",,"90 minutes for weekly session, 30 minutes for final session","Weekly for 7 weeks, then 3 sessions over next 7 weeks","14",,"completed therapy",,,,,,"7.8","3.5",,,,,"Race and Ethnicity data reported","Community","70%","Mixed","rape/sexual assault, other (child abuse unspecified, interpersonal, not specified)","Some Concerns","Markowitz JC, Petkova E, Neria Y, et al. Is exposure necessary? A randomized clinical trial of interpersonal psychotherapy for PTSD. Am J Psychiatry. 2015 May;172(5):430-40. doi: 10.1176/appi.ajp.2014.14070908. PMID: 25677355.","43409","2019"
"marks1998_A","marks1998","Psychotherapy & CIH","1998","PTSD","PTSD",,"87","A","23",,"Exposure Therapy","Trauma-focused cognitive behavioral therapy (TF-CBT)","Sessions 1-5: Patients asked to talk in first-person and present-tense about their experience; then rewind and 'hold' on memory of trauma until distress reduced. Homework involved listening to parts of their audiotaped description for 1 hour daily, noting peak distress before, during, and after listening sessions in diary. Sessions 6-10: Prolonged live exposure to stimuli; exposure repeated and accompanied by therapist. Homework involved live exposure for 1 hour daily, recording distress levels in diaries.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Usually weekly","10",,"completed 10 sessions",,,,,,,,,,,,"Not reported","Community","36%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement","Some Concerns","Marks I, Lovell K, Noshirvani H, et al. Treatment of posttraumatic stress disorder by exposure and/or cognitive restructuring: a controlled study. Arch Gen Psychiatry. 1998 Apr;55(4):317-25.  PMID: 9554427.","09640","2019"
"marks1998_B","marks1998","Psychotherapy & CIH","1998","PTSD","PTSD",,"87","B","19",,"CR","Cognitive restructuring","Patients taught to identify dysfunctional thoughts, develop rational alternatives, and re-appraise beliefs about themselves, their trauma, and the world. Homework involved use of daily thought records.","Yes","Non-Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Usually weekly","10",,"completed 10 sessions",,,,,,,,,,,,"Not reported","Community","36%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement","Some Concerns","Marks I, Lovell K, Noshirvani H, et al. Treatment of posttraumatic stress disorder by exposure and/or cognitive restructuring: a controlled study. Arch Gen Psychiatry. 1998 Apr;55(4):317-25.  PMID: 9554427.","09640","2019"
"marks1998_C","marks1998","Psychotherapy & CIH","1998","PTSD","PTSD",,"87","C","24",,"Exposure combined with CR","Trauma-focused cognitive behavioral therapy (TF-CBT)","First half of sessions involved imaginal exposure, then cognitive restructuring; second half of sessions involved in vivo exposure, then cognitive restructuring (45 minutes of exposure therapy, followed by 15 minute break, followed by 45 minutes of cognitive restructuring therapy). Homework involved one hour of daily exposure and cognitive tasks.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"105 minutes","Usually weekly","10",,"completed 10 sessions",,,,,,,,,,,,"Not reported","Community","36%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement","Some Concerns","Marks I, Lovell K, Noshirvani H, et al. Treatment of posttraumatic stress disorder by exposure and/or cognitive restructuring: a controlled study. Arch Gen Psychiatry. 1998 Apr;55(4):317-25.  PMID: 9554427.","09640","2019"
"marks1998_D","marks1998","Psychotherapy & CIH","1998","PTSD","Active Control",,"87","D","21",,"Relaxation","Relaxation","Patients taught to relax. Homework involved listening to relaxation tape daily and to record anxiety in daily diary.","No",,"No",,"Yes","Relaxation","No","No","Yes","No","No","Individual","In Person",,"90 minutes","Usually weekly","10",,"completed 10 sessions",,,,,,,,,,,,"Not reported","Community","36%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement","Some Concerns","Marks I, Lovell K, Noshirvani H, et al. Treatment of posttraumatic stress disorder by exposure and/or cognitive restructuring: a controlled study. Arch Gen Psychiatry. 1998 Apr;55(4):317-25.  PMID: 9554427.","09640","2019"
